序號,TOWNNAME,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,TWD97_lon,TWD97_lat,is_indoor,geometry,mean_elevation,max_slope,std_elevation,river_distance_m,river_distance_category,risk_level,terrain_risk
1422,花蓮縣,花蓮縣卓溪鄉,古風村,崙天18號,121.2645,23.2192,古風國小,古風村崙天,100,"水災,土石流",黃印龍,03-8846058,是,否,是,277070.5856,2568580.755,TRUE,POINT (277070.58563948737 2568580.7551621683),211.2411861,43.3657074,14.61180817,344.390913,小於500公尺,極高風險,Very High
1426,花蓮縣,花蓮縣卓溪鄉,古風村,1鄰20號,121.2649,23.2202,崙天社區活動中心,古風村崙天社區,50,"水災,土石流",林章成,03-8881852,是,否,是,277111.3225,2568691.567,TRUE,POINT (277111.3224926542 2568691.566565574),211.3630133,46.45193481,18.54578513,461.3848724,小於500公尺,極高風險,Very High
1434,花蓮縣,花蓮縣富里鄉,竹田村,1鄰東竹10號,121.2899,23.2261,新興竹田聯合社區活動中心,新興村,80,"水災,土石流",陳韋睿,03-8821423,是,否,是,279668.6709,2569349.799,TRUE,POINT (279668.67093347164 2569349.7992865634),238.5252257,26.09619713,26.82675752,585.7845153,500-1000公尺之間,低風險,Low
1474,花蓮縣,花蓮縣富里鄉,萬寧村,7鄰鎮寧100號,121.2982,23.251,萬寧社區活動中心,萬寧村,50,"水災,土石流",彭家玲,03-8861120,是,否,是,280512.4446,2572108.878,TRUE,POINT (280512.44457449514 2572108.877798535),185.0141271,20.54016685,6.923329463,587.0400516,500-1000公尺之間,低風險,Low
1487,花蓮縣,花蓮縣富里鄉,東里村,1鄰福安路6-1號,121.3052,23.2673,東里社區活動中心,東里村,50,"水災,土石流",廖維正,03-8861165,是,否,是,281224.9069,2573915.391,TRUE,POINT (281224.90691317216 2573915.3905474506),163.9225789,20.56149864,5.13299292,660.1283387,500-1000公尺之間,低風險,Low
1495,花蓮縣,花蓮縣玉里鎮,長良里,長良143-1號,121.2878,23.2768,長良社區活動中心,長良里,20,"水災,土石流",吳光玉,03-8801450,是,否,否,279442.6204,2574963.76,TRUE,POINT (279442.6203889155 2574963.7597931074),168.9406017,41.99833298,8.333359853,329.7853215,小於500公尺,極高風險,Very High
1500,花蓮縣,花蓮縣卓溪鄉,卓清村,1鄰13號,121.2725,23.2775,清水社區活動中心,卓清村清水,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,277877.2401,2575038.252,TRUE,POINT (277877.2401246508 2575038.2517809747),253.1339459,53.45540237,68.69474064,195.427571,小於500公尺,極高風險,Very High
1501,花蓮縣,花蓮縣富里鄉,吳江村,6鄰吳江65-3號,121.3227,23.2787,吳江社區活動中心,吳江村,70,"水災,土石流",彭家玲,03-8861180,是,否,是,283012.5293,2575181.679,TRUE,POINT (283012.5293120928 2575181.678996982),168.5402247,44.65826416,28.64706461,103.7744159,小於500公尺,極高風險,Very High
1528,花蓮縣,花蓮縣卓溪鄉,卓清村,12鄰18號,121.2703,23.2956,卓樂社區活動中心,卓清村卓樂社區,50,"水災,土石流",劉筠捷,03-8885593,是,否,是,277648.4368,2577042.185,TRUE,POINT (277648.4368213559 2577042.184860856),231.1481612,57.18361282,60.50859907,406.4296984,小於500公尺,極高風險,Very High
1555,花蓮縣,花蓮縣玉里鎮,樂合里,樂合65-5號,121.345,23.3183,樂合社區活動中心,樂合里,35,"水災,土石流",陳阿洲,03-8887126,是,否,否,285283.4159,2579572.178,TRUE,POINT (285283.41587970103 2579572.17767045),188.4701478,62.64292526,52.27014565,205.6416662,小於500公尺,極高風險,Very High
1559,花蓮縣,花蓮縣玉里鎮,源城里,水源57-1號,121.3004,23.3219,源城社區活動中心,源城里,35,"水災,土石流",徐永成,03-8889333,是,否,否,280721.281,2579960.667,TRUE,POINT (280721.2810330754 2579960.666967772),175.617875,42.56365585,22.87944668,27.76361259,小於500公尺,極高風險,Very High
1564,花蓮縣,花蓮縣玉里鎮,中城里,信義路5號,121.3139,23.3275,玉里慈惠堂,中城里,40,"水災,土石流",何正雄,03-8882921,是,否,否,282100.562,2580583.734,TRUE,POINT (282100.5619875082 2580583.733534773),134.1840439,7.027657986,3.707416435,516.1719241,500-1000公尺之間,低風險,Low
1576,花蓮縣,花蓮縣玉里鎮,泰昌里,中正路144號,121.3153,23.3352,中正堂,國武里、泰昌里、啟模里、永昌,100,"水災,土石流",邱國峰,03-8883166206,是,否,否,282241.8737,2581436.733,TRUE,POINT (282241.87368398387 2581436.7332036756),131.783641,8.88710022,3.590794778,1176.097372,1000公尺以上,低風險,Low
1589,花蓮縣,花蓮縣玉里鎮,東豐里,東豐石岡32之1號,121.3399,23.3389,東豐社區活動中心,東豐里,25,"水災,土石流",黎煥發,03-8883720,是,否,否,284756.4715,2581852.165,TRUE,POINT (284756.47147926094 2581852.164964978),138.4485298,31.45941544,27.0391906,487.2579515,小於500公尺,極高風險,Very High
1601,花蓮縣,花蓮縣卓溪鄉,卓溪村,7鄰73號,121.3038,23.3457,卓溪多功能活動中心,卓溪村,50,"水災,土石流",施慧玉,03-8980525,是,否,否,281063.4589,2582596.974,TRUE,POINT (281063.45893644233 2582596.973889334),190.6561206,46.31100082,35.43930432,213.0185167,小於500公尺,極高風險,Very High
1645,花蓮縣,花蓮縣玉里鎮,大禹里,大禹226號,121.3289,23.3805,大禹社區活動中心,大禹里,40,"水災,土石流",張添富,03-8886293,是,否,否,283621.1725,2586456.317,TRUE,POINT (283621.172458223 2586456.3170071105),103.7406834,34.26356125,3.434577657,1016.610027,1000公尺以上,高風險,High
1662,花蓮縣,花蓮縣玉里鎮,觀音里,觀音9-1號,121.3573,23.3951,觀音社區活動中心,觀音里,0,"水災,土石流",李貴福,8851223,是,否,是,286520.3307,2588080.018,TRUE,POINT (286520.330666637 2588080.0181540754),109.4226736,52.92785645,24.46503531,295.2009553,小於500公尺,極高風險,Very High
1672,花蓮縣,花蓮縣卓溪鄉,太平村,1鄰2號,121.3205,23.406,太平國小,太平村,100,"水災,土石流",林進明,03-8888713,是,否,是,282756.2206,2589278.247,TRUE,POINT (282756.2205599075 2589278.2472599335),170.1821356,49.49265671,58.80471492,416.4789714,小於500公尺,極高風險,Very High
1673,花蓮縣,花蓮縣卓溪鄉,太平村,6鄰79-1號,121.3166,23.4071,太平社區活動中心,太平村,50,"水災,土石流",潘佳屏,03-8841364,是,否,是,282357.3567,2589399.181,TRUE,POINT (282357.3567144898 2589399.1807223),129.6703318,50.25275803,19.68646008,147.8557683,小於500公尺,極高風險,Very High
1706,花蓮縣,花蓮縣玉里鎮,松浦里,松浦214-3號,121.3737,23.4293,松浦社區活動中心,松浦里,0,"水災,土石流",林誠觀,03-8851650,是,否,否,288186.8074,2591871.584,TRUE,POINT (288186.80739425856 2591871.584462742),96.41305025,44.36047363,18.23826606,145.4496102,小於500公尺,極高風險,Very High
1711,花蓮縣,花蓮縣玉里鎮,三民里,三民131-2號,121.3498,23.4321,三民社區活動中心,三民里,25,"水災,土石流",彭新發,03-8841164,是,否,否,285743.7941,2592175.526,TRUE,POINT (285743.79407397145 2592175.5263855937),97.0742092,44.00849152,14.09257622,147.0604576,小於500公尺,極高風險,Very High
1718,花蓮縣,花蓮縣卓溪鄉,古風村,12鄰4號,121.332,23.4363,古楓社區活動中心,古風村卓楓、白端社區,50,"水災,土石流",林章成,03-8881852,是,否,是,283923.8413,2592636.332,TRUE,POINT (283923.84125764057 2592636.3321968913),208.2503106,47.45365906,46.62290581,268.9376907,小於500公尺,極高風險,Very High
1719,花蓮縣,花蓮縣卓溪鄉,立山村,6鄰58號,121.332,23.4363,立山社區活動中心,立山村,50,"水災,土石流",高雅芯,03-8841572,是,否,是,283923.8413,2592636.332,TRUE,POINT (283923.84125764057 2592636.3321968913),208.2503106,47.45365906,46.62290581,268.9376907,小於500公尺,極高風險,Very High
1726,花蓮縣,花蓮縣卓溪鄉,崙山村,1鄰12號,121.3443,23.4391,崙山國小,崙山村、立山村,100,"水災,土石流",莊凱杰,03-8841350,是,否,是,285179.9274,2592949.356,TRUE,POINT (285179.92736320186 2592949.3557446566),162.8470894,45.81162643,31.1240125,1082.72181,1000公尺以上,高風險,High
1727,花蓮縣,花蓮縣卓溪鄉,崙山村,1鄰11-1號,121.3438,23.4393,崙山社區活動中心,崙山村,50,土石流,施鎮村,03-8841362,是,否,是,285128.785,2592971.382,TRUE,POINT (285128.7850155104 2592971.381811067),168.5000355,45.81162643,30.45583516,1128.809889,1000公尺以上,高風險,High
1757,花蓮縣,花蓮縣玉里鎮,春日里,75-1號,121.3967,23.455,春日社區活動中心,春日里,35,"水災,土石流",陳青廉,03-8875453,是,否,否,290529.265,2594723.911,TRUE,POINT (290529.26498876244 2594723.910683724),93.23346433,15.35105228,4.723424659,239.5672198,小於500公尺,高風險,High
1771,花蓮縣,花蓮縣瑞穗鄉,舞鶴村,14鄰中正南路二段278號,121.3536,23.4602,舞鶴社區活動中心,舞鶴村,100,"水災,土石流",楊明林,03-8871755,是,否,是,286124.4535,2595288.287,TRUE,POINT (286124.45349233074 2595288.2869880553),229.8835306,49.79938507,6.972891229,1262.928887,1000公尺以上,高風險,High
1778,花蓮縣,花蓮縣豐濱鄉,靜浦村,64號,121.4954,23.4615,靜浦國小大禮堂,靜浦村,0,"水災,震災",李楊元,03-8781021,是,否,是,300610.7304,2595474.983,TRUE,POINT (300610.73035367875 2595474.982674871),18.59616716,54.61034012,16.17456838,201.160479,小於500公尺,極高風險,Very High
1796,花蓮縣,花蓮縣玉里鎮,德武里,5鄰能雅79號,121.4074,23.4669,德武里原住民多功能活動中心,德武里,50,"水災,土石流",余榮富,03-8873161,是,否,否,291618.7234,2596044.786,TRUE,POINT (291618.7234219533 2596044.7861019676),147.0506172,43.67141342,30.71012936,333.3898789,小於500公尺,極高風險,Very High
1829,花蓮縣,花蓮縣豐濱鄉,港口村,7鄰118號,121.5043,23.4745,港口活動中心,港口村,0,"水災,震災,土石流",蕭清秀,03-8791450,是,否,是,301514.936,2596917.793,TRUE,POINT (301514.935988238 2596917.793065065),35.58046254,89.95056152,25.98027896,791.1281037,500-1000公尺之間,高風險,High
1868,花蓮縣,花蓮縣瑞穗鄉,瑞美村,仁愛路109號,121.3904,23.4909,瑞穗青蓮寺,全鄉,100,"水災,土石流",張雲艽,03-8875438,是,否,是,289874.822,2598697.766,TRUE,POINT (289874.8219615798 2598697.7658983525),82.03411833,19.3454113,3.132994956,157.0943324,小於500公尺,高風險,High
1870,花蓮縣,花蓮縣瑞穗鄉,鶴岡村,167 號,121.39,23.4913,花蓮縣鶴岡國民小學,鶴岡村,100,"水災,震災",蔡伍原,03-8872740,否,否,否,289833.846,2598741.952,TRUE,POINT (289833.84598867106 2598741.9516362557),82.40750009,10.43213272,3.162022395,137.8452354,小於500公尺,高風險,High
1874,花蓮縣,花蓮縣瑞穗鄉,瑞良村,4鄰信義路3號,121.394,23.4924,瑞良社區活動中心,瑞良村,30,"水災,土石流",黃義雄,03-8872559,是,否,是,290242.0687,2598864.882,TRUE,POINT (290242.0687373084 2598864.8816854246),77.27213047,28.97977066,5.138982123,305.1850575,小於500公尺,高風險,High
1878,花蓮縣,花蓮縣瑞穗鄉,瑞美村,中山路二段389號,121.3916,23.4931,花蓮縣瑞穗鄉瑞美國民小學,瑞美村、瑞良村,50,"水災,土石流",簡三其,03-8872014,是,否,是,289996.7255,2598941.731,TRUE,POINT (289996.7255470237 2598941.7309236997),79.21338777,10.66839886,4.625392944,91.51223704,小於500公尺,高風險,High
1880,花蓮縣,花蓮縣瑞穗鄉,瑞美村,13鄰中山路二段387號,121.3912,23.4937,瑞美社區活動中心,瑞美村,30,"水災,土石流",蘇院林,03-8871611,是,否,是,289955.6896,2599008.065,TRUE,POINT (289955.68958223535 2599008.0646618977),78.9747296,10.07552147,4.748627477,136.9333509,小於500公尺,高風險,High
1883,花蓮縣,花蓮縣瑞穗鄉,奇美村,2鄰40號,121.4467,23.4942,奇美社區活動中心,奇美村,20,"水災,土石流",蔣國雄,03-8991001,是,否,是,295624.1517,2599079.96,TRUE,POINT (295624.1517318791 2599079.9597866456),63.71888266,66.62850189,32.61402306,188.3933952,小於500公尺,極高風險,Very High
1891,花蓮縣,花蓮縣萬榮鄉,紅葉村,1鄰9號,121.3446,23.4954,紅葉社區活動中心,紅葉村,50,"水災,土石流,海嘯",胡春花,03-8871426,是,否,是,285195.6482,2599184.141,TRUE,POINT (285195.6482051058 2599184.141320586),206.0061296,45.97314072,47.56329032,535.4892023,500-1000公尺之間,高風險,High
1894,花蓮縣,花蓮縣瑞穗鄉,瑞穗村,成功北路18號,121.3759,23.4982,花蓮縣立瑞穗國民中學,全鄉,200,"水災,土石流",賴慶翰,03-8873111,是,否,是,288391.6862,2599502.231,TRUE,POINT (288391.68619732547 2599502.2313438873),100.476757,8.308130264,5.053010071,1144.136795,1000公尺以上,低風險,Low
1901,花蓮縣,花蓮縣瑞穗鄉,瑞祥村,4鄰祥北路二段127號,121.3588,23.4998,瑞祥社區活動中心,瑞祥村,30,"水災,土石流",黃崧庭,03-8876570,是,否,是,286644.7583,2599674.953,TRUE,POINT (286644.75834634044 2599674.952930818),147.1249031,44.24522018,27.79103448,106.0268807,小於500公尺,極高風險,Very High
1902,花蓮縣,花蓮縣瑞穗鄉,瑞穗村,14鄰民生街41號,121.3787,23.4998,瑞穗社區活動中心,瑞穗村,30,"水災,土石流",吳萬德,03-8872964,是,否,是,288677.1937,2599680.169,TRUE,POINT (288677.1936651807 2599680.1688207136),94.07487247,8.308130264,4.984613575,830.397269,500-1000公尺之間,低風險,Low
1913,花蓮縣,花蓮縣壽豐鄉,豐裡村,中山路257號,121.3021,23.5034,豐裡活動中心,豐裡村,42,"水災,震災,土石流,海嘯",曾振倫,03-8652802,是,否,是,280853.0275,2600060.303,TRUE,POINT (280853.02750800713 2600060.3030322096),843.4613497,52.54345322,96.02738541,1611.591373,1000公尺以上,高風險,High
1923,花蓮縣,花蓮縣瑞穗鄉,鶴岡村,14鄰85之6號,121.3911,23.5097,鶴岡社區活動中心,鶴岡村,30,"水災,土石流",余新德,03-8873392,是,否,是,289940.6527,2600779.905,TRUE,POINT (289940.65267850796 2600779.9052905478),91.02101234,33.57218933,10.52657926,471.764483,小於500公尺,極高風險,Very High
1957,花蓮縣,花蓮縣瑞穗鄉,瑞北村,4鄰祥北路一段54之1號,121.3765,23.5267,瑞北社區活動中心,瑞北村,30,"水災,土石流",李孔忠,03-8871754,是,否,是,288444.6923,2602658.533,TRUE,POINT (288444.6923102805 2602658.533045999),99.42564503,15.09557056,4.298972667,353.9328096,小於500公尺,高風險,High
2047,花蓮縣,花蓮縣豐濱鄉,豐濱村,16鄰豐里49之1號,121.4859,23.5681,八里灣基督長老教會,豐濱村八里灣部落,0,"水災,震災",吳德助,03-8791653,是,否,是,299600.2361,2607276.869,TRUE,POINT (299600.2361294331 2607276.869381559),108.4275574,54.41399765,34.36408601,131.8135346,小於500公尺,極高風險,Very High
2060,花蓮縣,花蓮縣瑞穗鄉,富民村,2鄰中正路一段208之1號,121.3745,23.5743,富民社區活動中心,富民村,30,"水災,土石流",劉賢明,03-8811149,是,否,是,288226.702,2607929.333,TRUE,POINT (288226.70197363914 2607929.333227852),164.6097102,15.38084793,5.117282447,725.677677,500-1000公尺之間,低風險,Low
2069,花蓮縣,花蓮縣萬榮鄉,馬遠村,1鄰5號,121.362553,23.576867,馬遠社區活動中心,馬遠村,120,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,287006.4935,2608210.472,TRUE,POINT (287006.4934511435 2608210.4723571897),190.1108705,39.04113007,25.47976779,127.9674043,小於500公尺,極高風險,Very High
2070,花蓮縣,花蓮縣萬榮鄉,馬遠村,2鄰馬遠39號,121.361934,23.576872,馬遠國民小學,馬遠村,200,"水災,土石流,海嘯",溫秀瑛,03-8811184,是,否,是,286943.3089,2608210.866,TRUE,POINT (286943.3089360346 2608210.866290246),197.8869235,39.04113007,34.85149473,190.898434,小於500公尺,極高風險,Very High
2076,花蓮縣,花蓮縣瑞穗鄉,富源村,10鄰學士路31號,121.3759,23.5776,富源社區活動中心,富源村,30,"水災,土石流",周玉梅,03-8811434,是,否,是,288368.648,2608295.158,TRUE,POINT (288368.64796110877 2608295.15838737),168.8645664,5.973229885,5.109995009,1114.423679,1000公尺以上,低風險,Low
2077,花蓮縣,花蓮縣瑞穗鄉,富源村,9鄰中正路157號,121.3764,23.5778,富源消防分隊,富源村、富民村、富興村,75,"水災,土石流",方小明,03-8811885,是,否,是,288419.626,2608317.441,TRUE,POINT (288419.6259741326 2608317.440952981),168.3039388,5.973229885,5.177893505,1158.329223,1000公尺以上,低風險,Low
2085,花蓮縣,花蓮縣瑞穗鄉,富興村,13鄰東興路134號,121.3877,23.5817,富興社區活動中心,富興村,30,"水災,土石流",莊明州,03-8811414,是,否,是,289571.8741,2608752.414,TRUE,POINT (289571.87411360134 2608752.414481564),173.2320802,6.912699223,6.418180808,1466.708573,1000公尺以上,低風險,Low
2117,花蓮縣,花蓮縣光復鄉,大全村,建國路一段1號,121.4125,23.598,光復自強外役監獄,大全村,300,"水災,震災,土石流",陳萬來,03-8703914#310,是,是,是,292097.9958,2610564.601,TRUE,POINT (292097.9957521698 2610564.600694432),230.5917839,47.90846634,31.64325772,841.7621936,500-1000公尺之間,高風險,High
2122,花蓮縣,花蓮縣光復鄉,大富村,建國路一段 26之2號,121.4162,23.5992,花東山琉璃禪寺,大富村,50,"水災,震災,土石流",簡進發,03-8731340,是,否,是,292475.2201,2610698.586,TRUE,POINT (292475.2200848478 2610698.585957413),251.5869185,38.6295929,31.69700779,466.8880561,小於500公尺,極高風險,Very High
2130,花蓮縣,花蓮縣豐濱鄉,豐濱村,光豐路26號,121.5218,23.6012,豐濱國中禮堂,豐濱村,0,"水災,震災,土石流",劉文彥,03-8791159,是,否,是,303251.5857,2610955.393,TRUE,POINT (303251.58573936316 2610955.3925612294),36.28316487,57.25641632,34.90565569,135.1423602,小於500公尺,極高風險,Very High
2143,花蓮縣,花蓮縣光復鄉,大富村,明德路29巷12號,121.3909,23.6073,大富國小,大富村.大豐村,80,"水災,震災,土石流",郭瑛忠,03-8701049,是,是,是,289890.7541,2611588.325,TRUE,POINT (289890.75414091244 2611588.325410638),181.8063246,11.2941246,6.098676342,632.8991431,500-1000公尺之間,低風險,Low
2177,花蓮縣,花蓮縣光復鄉,大興村,民權街17號,121.3982,23.6323,大興國小,大興村,300,"水災,震災,土石流",陳吉文,03-8702987,是,是,是,290628.0067,2614358.968,TRUE,POINT (290628.0067362946 2614358.967687572),151.000097,8.841956139,4.207470822,442.1242291,小於500公尺,高風險,High
2180,花蓮縣,花蓮縣光復鄉,大興村,民權街37號,121.3942,23.6338,大興活動中心,大興村,100,"水災,震災,土石流",劉建榮,03-8702216,是,否,是,290219.4276,2614523.952,TRUE,POINT (290219.4275554622 2614523.9518644437),162.0300458,33.843647,12.84084962,286.920817,小於500公尺,極高風險,Very High
2182,花蓮縣,花蓮縣豐濱鄉,新社村,9鄰東興18-1號,121.5308,23.6351,東興部落原住民多功能活動中心,新社村及磯崎村,0,海嘯,石蓮花,03-8711158,是,否,是,304156.1516,2614713.023,TRUE,POINT (304156.15155311406 2614713.0231016856),55.47204309,89.95055389,42.40605791,2141.847634,1000公尺以上,高風險,High
2185,花蓮縣,花蓮縣光復鄉,西富村,民有街51巷3-1號,121.4295,23.6362,馬佛活動中心,西富村,100,"水災,震災,土石流",高有民,03-8702206,是,否,是,293820.2605,2614800.116,TRUE,POINT (293820.2604819259 2614800.1163571323),136.602392,8.204384804,4.385235797,693.0590393,500-1000公尺之間,低風險,Low
2202,花蓮縣,花蓮縣光復鄉,南富村,建國路二段39號,121.4512,23.6419,砂荖活動中心,南富村,100,"水災,震災,土石流",吳福鍵,03-8702206,是,否,是,296032.2666,2615438.181,TRUE,POINT (296032.2666470357 2615438.1811606777),133.3243923,32.31773758,10.74075127,440.2095454,小於500公尺,極高風險,Very High
2219,花蓮縣,花蓮縣豐濱鄉,新社村,150號,121.5354,23.6519,新社國小二樓綜合教室,新社村,200,"水災,震災,土石流",許傳方,03-8711138,是,否,是,304618.5143,2616575.295,TRUE,POINT (304618.51433384465 2616575.2953707017),58.17358178,89.95055389,44.4983037,665.1079435,500-1000公尺之間,高風險,High
2220,花蓮縣,花蓮縣光復鄉,大全村,中山路一段216巷8號,121.4184,23.6521,光復鄉立托兒所,大全村.大進村,100,"水災,震災,土石流",羅彩和,03-8705165,是,是,是,292682.5985,2616557.587,TRUE,POINT (292682.5985145302 2616557.5870179706),123.0847499,10.49520969,1.690555674,335.5125251,小於500公尺,高風險,High
2227,花蓮縣,花蓮縣光復鄉,西富村,中正路二段72巷14號,121.4494,23.6584,西南活動中心,西富村,100,"水災,震災,土石流",劉貴滿,03-8702923,是,否,是,295842.8752,2617264.886,TRUE,POINT (295842.8751664441 2617264.8857212877),112.3044218,14.21545982,2.052883102,364.4614874,小於500公尺,高風險,High
2232,花蓮縣,花蓮縣光復鄉,北富村,中正路二段23號,121.4484,23.6601,太巴塱國小,北富村.西富村,100,"水災,震災,土石流",林萬男,03-8701134#10,是,是,是,295740.2734,2617452.831,TRUE,POINT (295740.27340131765 2617452.830757225),110.88091,14.21545982,2.008817437,172.0229372,小於500公尺,高風險,High
2236,花蓮縣,花蓮縣光復鄉,大同村,中正路一段370號,121.431,23.6633,大同活動中心,大同村,100,"水災,震災,土石流",吳張義,03-8701180,是,否,是,293964.2454,2617801.746,TRUE,POINT (293964.2454034604 2617801.7463959455),114.4770132,12.34552479,1.776728595,171.6758955,小於500公尺,高風險,High
2244,花蓮縣,花蓮縣光復鄉,大華村,中華路257號,121.4233,23.6694,光復鄉公所,大安村、大華村,100,"水災,震災,土石流",黃微鈞,03-8702206#239,是,是,是,293176.792,2618474.937,TRUE,POINT (293176.7920189968 2618474.937037626),126.662973,41.2723999,15.09541571,736.9607668,500-1000公尺之間,高風險,High
2247,花蓮縣,花蓮縣光復鄉,大馬村,林森路200號,121.4248,23.6705,光復國中,大平村.大馬村.大同村,100,"水災,震災,土石流",葉淑貞,03-8701027,是,是,是,293329.432,2618597.211,TRUE,POINT (293329.4320030704 2618597.210578233),124.9481349,37.04692459,9.269694288,800.3043723,500-1000公尺之間,高風險,High
2277,花蓮縣,花蓮縣光復鄉,東富村,東富路60號,121.4825,23.6845,東富國小,東富村,100,"水災,震災,土石流",鄭金寶,03-8701292,是,是,是,299209.655,2620166.352,TRUE,POINT (299209.65497167263 2620166.3521283255),118.3046411,35.91431046,25.34007539,271.8751978,小於500公尺,極高風險,Very High
2293,花蓮縣,花蓮縣萬榮鄉,明利村,5鄰75號,121.4018,23.696,馬太鞍社區活動中心,明利村,80,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,290975.4592,2621414.4,TRUE,POINT (290975.45916458644 2621414.399794171),225.4123673,31.39620972,55.92061474,681.807987,500-1000公尺之間,高風險,High
2323,花蓮縣,花蓮縣萬榮鄉,明利村,2鄰34-8號,121.412375,23.704834,明利社區活動中心,明利村,100,"水災,土石流,海嘯",許花麗,03-8751114,是,否,是,292051.0771,2622395.799,TRUE,POINT (292051.07712175034 2622395.798739806),170.1179825,42.17158508,44.74052914,1650.815628,1000公尺以上,高風險,High
2333,花蓮縣,花蓮縣豐濱鄉,磯崎村,71號,121.5419,23.7085,磯崎村辦公處活動中心,磯崎村,0,"水災,震災,土石流",李貴良,03-8711029,是,否,是,305257.8102,2622846.016,TRUE,POINT (305257.8102029216 2622846.0159003804),83.96182236,63.6522522,44.04640707,89.99744125,小於500公尺,極高風險,Very High
2337,花蓮縣,花蓮縣鳳林鎮,長橋里,長橋路4號,121.4195,23.7097,長橋社區活動中心,長橋里,50,"水災,土石流",董經碩,03-8751131,是,否,否,292776.0565,2622936.804,TRUE,POINT (292776.0564655077 2622936.8042222606),140.1371459,6.267652512,3.424501551,1047.941941,1000公尺以上,低風險,Low
